userId,group,itemNo,responseNo,checked
bb284246c5a64c258a92fa940218e85c,U,0,1,1
bb284246c5a64c258a92fa940218e85c,U,0,2,1
bb284246c5a64c258a92fa940218e85c,U,0,3,1
bb284246c5a64c258a92fa940218e85c,U,0,4,0
bb284246c5a64c258a92fa940218e85c,U,0,5,0
bb284246c5a64c258a92fa940218e85c,U,0,6,0
bb284246c5a64c258a92fa940218e85c,U,1,1,0
bb284246c5a64c258a92fa940218e85c,U,1,2,0
bb284246c5a64c258a92fa940218e85c,U,1,3,0
bb284246c5a64c258a92fa940218e85c,U,1,4,1
bb284246c5a64c258a92fa940218e85c,U,1,5,1
bb284246c5a64c258a92fa940218e85c,U,1,6,0
bb284246c5a64c258a92fa940218e85c,U,3,1,0
bb284246c5a64c258a92fa940218e85c,U,3,2,0
bb284246c5a64c258a92fa940218e85c,U,3,3,1
bb284246c5a64c258a92fa940218e85c,U,3,4,0
bb284246c5a64c258a92fa940218e85c,U,3,5,0
bb284246c5a64c258a92fa940218e85c,U,3,6,0
bb284246c5a64c258a92fa940218e85c,U,4,1,0
bb284246c5a64c258a92fa940218e85c,U,4,2,0
bb284246c5a64c258a92fa940218e85c,U,4,3,0
bb284246c5a64c258a92fa940218e85c,U,4,4,1
bb284246c5a64c258a92fa940218e85c,U,4,5,0
bb284246c5a64c258a92fa940218e85c,U,4,6,0
bb284246c5a64c258a92fa940218e85c,U,2,1,0
bb284246c5a64c258a92fa940218e85c,U,2,2,0
bb284246c5a64c258a92fa940218e85c,U,2,3,0
bb284246c5a64c258a92fa940218e85c,U,2,4,1
bb284246c5a64c258a92fa940218e85c,U,2,5,0
bb284246c5a64c258a92fa940218e85c,U,2,6,0
bb284246c5a64c258a92fa940218e85c,U,6,1,0
bb284246c5a64c258a92fa940218e85c,U,6,2,0
bb284246c5a64c258a92fa940218e85c,U,6,3,1
bb284246c5a64c258a92fa940218e85c,U,6,4,0
bb284246c5a64c258a92fa940218e85c,U,6,5,0
bb284246c5a64c258a92fa940218e85c,U,6,6,0
bb284246c5a64c258a92fa940218e85c,U,7,1,0
bb284246c5a64c258a92fa940218e85c,U,7,2,0
bb284246c5a64c258a92fa940218e85c,U,7,3,0
bb284246c5a64c258a92fa940218e85c,U,7,4,0
bb284246c5a64c258a92fa940218e85c,U,7,5,0
bb284246c5a64c258a92fa940218e85c,U,7,6,1
